Filebench Version 1.5-alpha3
0.000: Allocated 177MB of shared memory
0.019: Web-server Version 3.1 personality successfully loaded
0.019: Populating and pre-allocating filesets
0.022: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.022: Removing logfiles tree (if exists)
0.048: Pre-allocating directories in logfiles tree
0.051: Pre-allocating files in logfiles tree
0.052: bigfileset populated: 1000 files, avg. dir. width = 20, avg. dir. depth = 2.3, 0 leafdirs, 14.760MB total size
0.052: Removing bigfileset tree (if exists)
0.053: Pre-allocating directories in bigfileset tree
0.062: Pre-allocating files in bigfileset tree
0.083: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.083: Population and pre-allocation of filesets completed
0.083: Starting 1 filereader instances
1.087: Running...
3.088: Run took 2 seconds...
3.098: Per-Operation Breakdown
appendlog            33011ops    16503ops/s 128.5mb/s    0.014ms/op [0.002ms - 0.503ms]
closefile10          32973ops    16484ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.151ms]
readfile10           32973ops    16484ops/s 244.3mb/s    0.005ms/op [0.001ms - 0.337ms]
openfile10           32978ops    16487ops/s   0.0mb/s    0.042ms/op [0.002ms - 43.711ms]
closefile9           32979ops    16487ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.445ms]
readfile9            32979ops    16487ops/s 242.5mb/s    0.005ms/op [0.001ms - 0.377ms]
openfile9            32981ops    16488ops/s   0.0mb/s    0.041ms/op [0.002ms - 43.347ms]
closefile8           32985ops    16490ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.214ms]
readfile8            32985ops    16490ops/s 242.7mb/s    0.005ms/op [0.001ms - 0.232ms]
openfile8            32986ops    16491ops/s   0.0mb/s    0.040ms/op [0.002ms - 42.119ms]
closefile7           32990ops    16493ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.072ms]
readfile7            32990ops    16493ops/s 244.2mb/s    0.005ms/op [0.001ms - 0.185ms]
openfile7            32991ops    16493ops/s   0.0mb/s    0.039ms/op [0.002ms - 30.756ms]
closefile6           32992ops    16494ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.158ms]
readfile6            32992ops    16494ops/s 243.6mb/s    0.005ms/op [0.001ms - 0.116ms]
openfile6            32994ops    16495ops/s   0.0mb/s    0.040ms/op [0.002ms - 43.893ms]
closefile5           32994ops    16495ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.157ms]
readfile5            32996ops    16496ops/s 243.0mb/s    0.005ms/op [0.001ms - 0.165ms]
openfile5            32997ops    16496ops/s   0.0mb/s    0.038ms/op [0.002ms - 1.608ms]
closefile4           32997ops    16496ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.156ms]
readfile4            32999ops    16497ops/s 244.7mb/s    0.005ms/op [0.001ms - 0.171ms]
openfile4            33000ops    16498ops/s   0.0mb/s    0.040ms/op [0.002ms - 42.147ms]
closefile3           33000ops    16498ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.355ms]
readfile3            33000ops    16498ops/s 242.5mb/s    0.005ms/op [0.001ms - 0.294ms]
openfile3            33003ops    16499ops/s   0.0mb/s    0.040ms/op [0.002ms - 43.278ms]
closefile2           33005ops    16500ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.172ms]
readfile2            33005ops    16500ops/s 244.1mb/s    0.005ms/op [0.001ms - 0.138ms]
openfile2            33005ops    16500ops/s   0.0mb/s    0.041ms/op [0.002ms - 42.893ms]
closefile1           33007ops    16501ops/s   0.0mb/s    0.002ms/op [0.001ms - 0.167ms]
readfile1            33008ops    16502ops/s 243.1mb/s    0.005ms/op [0.001ms - 0.136ms]
openfile1            33010ops    16503ops/s   0.0mb/s    0.042ms/op [0.002ms - 43.694ms]
3.098: IO Summary: 1022805 ops 511338.583 ops/s 164943/16503 rd/wr 2563.1mb/s 0.016ms/op
3.098: Shutting down processes
