Filebench Version 1.5-alpha3
0.000: Allocated 177MB of shared memory
0.052: Web-server Version 3.1 personality successfully loaded
0.052: Populating and pre-allocating filesets
0.054: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.054: Removing logfiles tree (if exists)
0.060: Pre-allocating directories in logfiles tree
0.061: Pre-allocating files in logfiles tree
0.061: bigfileset populated: 1000 files, avg. dir. width = 20, avg. dir. depth = 2.3, 0 leafdirs, 14.760MB total size
0.061: Removing bigfileset tree (if exists)
0.063: Pre-allocating directories in bigfileset tree
0.064: Pre-allocating files in bigfileset tree
0.087: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.087: Population and pre-allocation of filesets completed
0.087: Starting 1 filereader instances
1.090: Running...
3.091: Run took 2 seconds...
3.093: Per-Operation Breakdown
appendlog            33076ops    16536ops/s 129.4mb/s    0.018ms/op [0.002ms - 0.462ms]
closefile10          33057ops    16527ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.206ms]
readfile10           33057ops    16527ops/s 245.1mb/s    0.004ms/op [0.001ms - 0.200ms]
openfile10           33057ops    16527ops/s   0.0mb/s    0.019ms/op [0.001ms - 0.239ms]
closefile9           33058ops    16527ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.080ms]
readfile9            33058ops    16527ops/s 244.4mb/s    0.004ms/op [0.001ms - 0.121ms]
openfile9            33060ops    16528ops/s   0.0mb/s    0.019ms/op [0.001ms - 0.289ms]
closefile8           33060ops    16528ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.143ms]
readfile8            33060ops    16528ops/s 244.3mb/s    0.004ms/op [0.001ms - 0.192ms]
openfile8            33060ops    16528ops/s   0.0mb/s    0.019ms/op [0.002ms - 0.376ms]
closefile7           33061ops    16529ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.092ms]
readfile7            33061ops    16529ops/s 242.6mb/s    0.004ms/op [0.001ms - 0.189ms]
openfile7            33063ops    16530ops/s   0.0mb/s    0.019ms/op [0.001ms - 0.294ms]
closefile6           33063ops    16530ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.081ms]
readfile6            33063ops    16530ops/s 245.9mb/s    0.004ms/op [0.001ms - 0.109ms]
openfile6            33064ops    16530ops/s   0.0mb/s    0.019ms/op [0.001ms - 0.237ms]
closefile5           33065ops    16531ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.184ms]
readfile5            33065ops    16531ops/s 244.9mb/s    0.004ms/op [0.001ms - 0.218ms]
openfile5            33067ops    16532ops/s   0.0mb/s    0.019ms/op [0.002ms - 0.318ms]
closefile4           33067ops    16532ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.097ms]
readfile4            33067ops    16532ops/s 242.8mb/s    0.004ms/op [0.001ms - 0.226ms]
openfile4            33067ops    16532ops/s   0.0mb/s    0.019ms/op [0.002ms - 0.307ms]
closefile3           33070ops    16533ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.061ms]
readfile3            33070ops    16533ops/s 243.6mb/s    0.004ms/op [0.001ms - 0.130ms]
openfile3            33070ops    16533ops/s   0.0mb/s    0.019ms/op [0.001ms - 0.340ms]
closefile2           33070ops    16533ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.055ms]
readfile2            33070ops    16533ops/s 243.2mb/s    0.004ms/op [0.001ms - 0.171ms]
openfile2            33071ops    16534ops/s   0.0mb/s    0.019ms/op [0.002ms - 0.368ms]
closefile1           33072ops    16534ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.146ms]
readfile1            33072ops    16534ops/s 242.9mb/s    0.004ms/op [0.001ms - 0.123ms]
openfile1            33074ops    16535ops/s   0.0mb/s    0.019ms/op [0.002ms - 0.270ms]
3.093: IO Summary: 1025015 ops 512450.362 ops/s 165303/16536 rd/wr 2569.1mb/s 0.008ms/op
3.093: Shutting down processes
