Filebench Version 1.5-alpha3
0.000: Allocated 177MB of shared memory
0.042: Web-server Version 3.1 personality successfully loaded
0.042: Populating and pre-allocating filesets
0.044: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.044: Removing logfiles tree (if exists)
0.050: Pre-allocating directories in logfiles tree
0.050: Pre-allocating files in logfiles tree
0.051: bigfileset populated: 1000 files, avg. dir. width = 20, avg. dir. depth = 2.3, 0 leafdirs, 14.760MB total size
0.051: Removing bigfileset tree (if exists)
0.052: Pre-allocating directories in bigfileset tree
0.054: Pre-allocating files in bigfileset tree
0.078: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.078: Population and pre-allocation of filesets completed
0.078: Starting 1 filereader instances
1.082: Running...
3.083: Run took 2 seconds...
3.092: Per-Operation Breakdown
appendlog            32999ops    16498ops/s 129.0mb/s    0.023ms/op [0.003ms - 1.102ms]
closefile10          32959ops    16478ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.072ms]
readfile10           32959ops    16478ops/s 241.3mb/s    0.005ms/op [0.001ms - 0.124ms]
openfile10           32961ops    16479ops/s   0.0mb/s    0.041ms/op [0.002ms - 42.824ms]
closefile9           32963ops    16480ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.224ms]
readfile9            32963ops    16480ops/s 242.6mb/s    0.005ms/op [0.001ms - 0.178ms]
openfile9            32964ops    16480ops/s   0.0mb/s    0.040ms/op [0.002ms - 42.814ms]
closefile8           32966ops    16481ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.112ms]
readfile8            32966ops    16481ops/s 242.6mb/s    0.005ms/op [0.001ms - 0.175ms]
openfile8            32970ops    16483ops/s   0.0mb/s    0.039ms/op [0.002ms - 42.845ms]
closefile7           32972ops    16484ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.093ms]
readfile7            32972ops    16484ops/s 244.0mb/s    0.005ms/op [0.001ms - 0.413ms]
openfile7            32973ops    16485ops/s   0.0mb/s    0.038ms/op [0.002ms - 1.244ms]
closefile6           32973ops    16485ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.127ms]
readfile6            32973ops    16485ops/s 244.3mb/s    0.005ms/op [0.001ms - 0.290ms]
openfile6            32977ops    16487ops/s   0.0mb/s    0.040ms/op [0.002ms - 44.574ms]
closefile5           32978ops    16487ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.074ms]
readfile5            32978ops    16487ops/s 244.2mb/s    0.005ms/op [0.001ms - 0.213ms]
openfile5            32979ops    16488ops/s   0.0mb/s    0.039ms/op [0.001ms - 43.988ms]
closefile4           32982ops    16489ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.126ms]
readfile4            32982ops    16489ops/s 244.2mb/s    0.005ms/op [0.001ms - 0.181ms]
openfile4            32984ops    16490ops/s   0.0mb/s    0.038ms/op [0.002ms - 1.204ms]
closefile3           32987ops    16492ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.166ms]
readfile3            32987ops    16492ops/s 243.6mb/s    0.005ms/op [0.001ms - 0.179ms]
openfile3            32991ops    16494ops/s   0.0mb/s    0.044ms/op [0.002ms - 44.580ms]
closefile2           32991ops    16494ops/s   0.0mb/s    0.001ms/op [0.000ms - 0.166ms]
readfile2            32991ops    16494ops/s 243.7mb/s    0.005ms/op [0.001ms - 0.131ms]
openfile2            32993ops    16495ops/s   0.0mb/s    0.039ms/op [0.002ms - 42.821ms]
closefile1           32995ops    16496ops/s   0.0mb/s    0.001ms/op [0.001ms - 0.251ms]
readfile1            32995ops    16496ops/s 243.2mb/s    0.005ms/op [0.001ms - 0.228ms]
openfile1            32998ops    16497ops/s   0.0mb/s    0.043ms/op [0.002ms - 44.436ms]
3.092: IO Summary: 1022321 ops 511109.900 ops/s 164867/16498 rd/wr 2562.6mb/s 0.016ms/op
3.092: Shutting down processes
